Employee_ID,Employee_Name,Gender,Department,Position,Branch_ID,Hire_Date,Salary,Performance_Rating,Monthly_Target
E001,Employee 1,Male,Operations,Senior,B04,6/10/2022 0:00,9280,3.8,50064
E002,Employee 2,Male,Customer Service,Specialist,B08,2/19/2021 0:00,17493,4,94439
E003,Employee 3,Male,Sales,Senior,B08,3/15/2021 0:00,12687,3.1,167040
E004,Employee 4,Female,Logistics,Senior,B06,5/17/2023 0:00,16463,4.2,183557
E005,Employee 5,Male,Operations,Specialist,B11,7/21/2025 0:00,10510,3.9,90996
E006,Employee 6,Female,Operations,Specialist,B08,6/26/2022 0:00,10343,4.1,90331
E007,Employee 7,Male,Sales,Senior,B13,12/13/2020 0:00,8225,4.4,191255
E008,Employee 8,Male,Logistics,Senior,B03,8/29/2023 0:00,10934,4.4,83097
E009,Employee 9,Male,Logistics,Manager,B07,9/21/2025 0:00,8244,3.3,67280
E010,Employee 10,Male,Logistics,Manager,B12,2/8/2020 0:00,7617,3.7,71462
E011,Employee 11,Female,Marketing,Manager,B05,3/2/2023 0:00,13549,4.5,59019
E012,Employee 12,Female,Sales,Specialist,B04,2/17/2022 0:00,17736,4.6,138014
E013,Employee 13,Male,Logistics,Manager,B05,3/11/2022 0:00,10597,3.8,122665
E014,Employee 14,Male,Customer Service,Specialist,B08,12/19/2025 0:00,14437,4.9,69306
E015,Employee 15,Female,Sales,Senior,B14,3/28/2020 0:00,12626,3.9,101469
E016,Employee 16,Female,Marketing,Specialist,B13,10/11/2021 0:00,13220,4.7,148779
E017,Employee 17,Male,Logistics,Specialist,B02,5/10/2024 0:00,4657,3.4,99183
E018,Employee 18,Male,Operations,Manager,B07,6/25/2021 0:00,10015,4.9,171235
E019,Employee 19,Male,Logistics,Specialist,B05,12/22/2024 0:00,10771,4.3,100704
E020,Employee 20,Male,Logistics,Senior,B14,3/12/2020 0:00,10572,3.7,193955
E021,Employee 21,Female,Customer Service,Senior,B03,6/22/2021 0:00,8130,4,81304
E022,Employee 22,Male,Logistics,Specialist,B11,2/25/2025 0:00,16346,3.2,171568
E023,Employee 23,Male,Sales,Senior,B02,11/16/2020 0:00,13472,3.8,113330
E024,Employee 24,Female,Customer Service,Specialist,B07,7/20/2022 0:00,15135,3.7,174102
E025,Employee 25,Female,Sales,Manager,B07,4/5/2025 0:00,4592,3.2,104142
E026,Employee 26,Female,Sales,Manager,B10,12/11/2021 0:00,9451,4.5,121773
E027,Employee 27,Male,Logistics,Manager,B02,7/24/2022 0:00,16010,3.4,82248
E028,Employee 28,Male,Marketing,Senior,B09,6/22/2024 0:00,6975,3.1,137957
E029,Employee 29,Female,Sales,Senior,B08,3/29/2024 0:00,17209,4,178016
E030,Employee 30,Female,Logistics,Senior,B09,8/17/2025 0:00,7558,3.5,53591
E031,Employee 31,Female,Sales,Specialist,B05,3/18/2021 0:00,4300,3.6,160356
E032,Employee 32,Male,Customer Service,Specialist,B04,2/23/2020 0:00,8852,4.9,103277
E033,Employee 33,Male,Operations,Specialist,B05,1/14/2020 0:00,10076,3.5,97092
E034,Employee 34,Female,Sales,Manager,B12,11/15/2024 0:00,13820,3.2,183731
E035,Employee 35,Female,Sales,Specialist,B10,12/22/2025 0:00,9337,4.4,129277
E036,Employee 36,Female,Customer Service,Manager,B11,8/16/2025 0:00,9421,3.4,104342
E037,Employee 37,Male,Operations,Manager,B10,2/26/2025 0:00,8062,4.2,55616
E038,Employee 38,Female,Operations,Senior,B12,10/16/2023 0:00,7330,4.5,166610
E039,Employee 39,Female,Marketing,Specialist,B05,1/23/2021 0:00,17395,4.1,119090
E040,Employee 40,Female,Customer Service,Manager,B11,8/6/2021 0:00,15415,4,161720
E041,Employee 41,Male,Logistics,Manager,B08,12/2/2025 0:00,4290,4.7,56852
E042,Employee 42,Female,Customer Service,Senior,B02,12/17/2021 0:00,6265,4.3,101803
E043,Employee 43,Female,Marketing,Senior,B12,11/17/2022 0:00,11199,4.7,84001
E044,Employee 44,Male,Marketing,Senior,B01,7/4/2020 0:00,14639,4.1,123060
E045,Employee 45,Male,Sales,Specialist,B06,1/20/2020 0:00,12563,4.1,188589
E046,Employee 46,Female,Marketing,Manager,B13,5/28/2025 0:00,15595,3.8,159938
E047,Employee 47,Male,Customer Service,Senior,B15,10/30/2025 0:00,13384,3.5,89593
E048,Employee 48,Female,Logistics,Senior,B04,5/12/2024 0:00,5897,4.3,141641
E049,Employee 49,Male,Operations,Specialist,B01,2/8/2025 0:00,13659,3.2,150139
E050,Employee 50,Female,Marketing,Specialist,B01,2/18/2024 0:00,14620,4.6,126888
E051,Employee 51,Male,Marketing,Senior,B03,11/24/2024 0:00,16037,3.9,135837
E052,Employee 52,Male,Logistics,Senior,B02,5/5/2022 0:00,14174,4.9,63336
E053,Employee 53,Male,Sales,Specialist,B06,2/26/2025 0:00,15019,3.1,187136
E054,Employee 54,Male,Marketing,Manager,B08,4/22/2023 0:00,16618,3.2,143970
